# RuneScape950 cache items ID/name list
# Generated UTC: 2026-09-16T23:32:13.260262200Z
# Source cache: C:\Games\950OpenSource\cache
# Index 19; definitions=63414; named=57837; unnamed=5577; errors=0
# Reference table SHA-256: ff1d2e2e9bb3e2a488bd0e475b957bdbea5276625d4489d64cb5618bf8f014c6
# All actual reference-defined IDs are included. <unnamed> means no display name; errors are reported, never guessed.
# Names come from this950 cache. Items resolve cache template names; conditional NPC/object transforms depend on game state.
# UTF-8, tab-separated; literal tabs/newlines inside names are escaped.
ID	Name	Details
123	Attack potion (2)	
124	Attack potion (2)	noted; base=123
125	Attack potion (1)	
126	Attack potion (1)	noted; base=125
127	Restore potion (3)	
128	Restore potion (3)	noted; base=127
129	Restore potion (2)	
130	Restore potion (2)	noted; base=129
131	Restore potion (1)	
132	Restore potion (1)	noted; base=131
133	Defence potion (3)	
134	Defence potion (3)	noted; base=133
135	Defence potion (2)	
136	Defence potion (2)	noted; base=135
137	Defence potion (1)	
138	Defence potion (1)	noted; base=137
139	Prayer potion (3)	
140	Prayer potion (3)	noted; base=139
141	Prayer potion (2)	
142	Prayer potion (2)	noted; base=141
143	Prayer potion (1)	
144	Prayer potion (1)	noted; base=143
145	Super attack (3)	
146	Super attack (3)	noted; base=145
147	Super attack (2)	
148	Super attack (2)	noted; base=147
149	Super attack (1)	
150	Super attack (1)	noted; base=149
151	Fishing potion (3)	
152	Fishing potion (3)	noted; base=151
153	Fishing potion (2)	
154	Fishing potion (2)	noted; base=153
155	Fishing potion (1)	
156	Fishing potion (1)	noted; base=155
157	Super strength (3)	
158	Super strength (3)	noted; base=157
159	Super strength (2)	
160	Super strength (2)	noted; base=159
161	Super strength (1)	
162	Super strength (1)	noted; base=161
163	Super defence (3)	
164	Super defence (3)	noted; base=163
165	Super defence (2)	
166	Super defence (2)	noted; base=165
167	Super defence (1)	
168	Super defence (1)	noted; base=167
169	Super ranging potion (3)	
170	Super ranging potion (3)	noted; base=169
171	Super ranging potion (2)	
172	Super ranging potion (2)	noted; base=171
173	Super ranging potion (1)	
174	Super ranging potion (1)	noted; base=173
175	Antipoison (3)	
176	Antipoison (3)	noted; base=175
177	Antipoison (2)	
178	Antipoison (2)	noted; base=177
179	Antipoison (1)	
180	Antipoison (1)	noted; base=179
181	Super antipoison (3)	
182	Super antipoison (3)	noted; base=181
183	Super antipoison (2)	
184	Super antipoison (2)	noted; base=183
185	Super antipoison (1)	
186	Super antipoison (1)	noted; base=185
187	Weapon poison (3)	
188	Weapon poison (3)	noted; base=187
189	Zamorak brew (3)	
190	Zamorak brew (3)	noted; base=189
191	Zamorak brew (2)	
192	Zamorak brew (2)	noted; base=191
193	Zamorak brew (1)	
194	Zamorak brew (1)	noted; base=193
195	Acne potion	
196	Acne potion	noted; base=195
197	Poison chalice	
198	Poison chalice	noted; base=197
199	Grimy guam	
200	Grimy guam	noted; base=199
201	Grimy marrentill	
202	Grimy marrentill	noted; base=201
203	Grimy tarromin	
204	Grimy tarromin	noted; base=203
205	Grimy harralander	
206	Grimy harralander	noted; base=205
207	Grimy ranarr	
208	Grimy ranarr	noted; base=207
209	Grimy irit	
210	Grimy irit	noted; base=209
211	Grimy avantoe	
212	Grimy avantoe	noted; base=211
213	Grimy kwuarm	
214	Grimy kwuarm	noted; base=213
215	Grimy cadantine	
216	Grimy cadantine	noted; base=215
217	Grimy dwarf weed	
218	Grimy dwarf weed	noted; base=217
219	Grimy torstol	
220	Grimy torstol	noted; base=219
221	Eye of newt	
222	Eye of newt	noted; base=221
223	Red spiders' eggs	
224	Red spiders' eggs	noted; base=223
225	Limpwurt root	
226	Limpwurt root	noted; base=225
227	Vial of water	
228	Vial of water	noted; base=227
229	Vial	
230	Vial	noted; base=229
231	Snape grass	
232	Snape grass	noted; base=231
233	Pestle and mortar	
234	Pestle and mortar	noted; base=233
235	Unicorn horn dust	
236	Unicorn horn dust	noted; base=235
237	Unicorn horn	
238	Unicorn horn	noted; base=237
239	White berries	
240	White berries	noted; base=239
241	Dragon scale dust	
242	Dragon scale dust	noted; base=241
243	Blue dragon scale	
244	Blue dragon scale	noted; base=243
245	Wine of Zamorak	
246	Wine of Zamorak	noted; base=245
247	Jangerberries	
248	Jangerberries	noted; base=247
249	Clean guam	
250	Clean guam	noted; base=249
251	Clean marrentill	
252	Clean marrentill	noted; base=251
253	Clean tarromin	
254	Clean tarromin	noted; base=253
255	Clean harralander	
256	Clean harralander	noted; base=255
257	Clean ranarr	
258	Clean ranarr	noted; base=257
259	Clean irit	
260	Clean irit	noted; base=259
261	Clean avantoe	
262	Clean avantoe	noted; base=261
263	Clean kwuarm	
264	Clean kwuarm	noted; base=263
265	Clean cadantine	
266	Clean cadantine	noted; base=265
267	Clean dwarf weed	
268	Clean dwarf weed	noted; base=267
269	Clean torstol	
270	Clean torstol	noted; base=269
271	Pressure gauge	
272	Fish food	
273	Poison	
274	Poisoned fish food	
275	Grimy key	
276	Rubber tube	
277	Oil can	
278	Cattleprod	
279	Sheep feed	
280	Sheep bones (1)	
281	Sheep bones (2)	
282	Sheep bones (3)	
283	Sheep bones (4)	
284	Plague jacket	
285	Plague trousers	
286	Orange goblin mail	
287	Blue goblin mail	
288	Goblin mail	
289	Goblin mail	noted; base=288
290	<unnamed>	
291	<unnamed>	
292	Book on Baxtorian	
293	A key	
294	Glarial's pebble	
295	Glarial's amulet	
296	Glarial's urn	
297	Glarial's urn	
298	A key	
299	Mithril seeds	
300	Rat's tail	
301	Lobster pot	
302	Lobster pot	noted; base=301
303	Small fishing net	
304	Small fishing net	noted; base=303
305	Big fishing net	
306	Big fishing net	noted; base=305
307	Fishing rod	
308	Fishing rod	noted; base=307
309	Fly fishing rod	
310	Fly fishing rod	noted; base=309
311	Harpoon	
312	Harpoon	noted; base=311
313	Fishing bait	
314	Feather	
315	Shrimps	
316	Shrimps	noted; base=315
317	Raw shrimps	
318	Raw shrimps	noted; base=317
319	Anchovies	
320	Anchovies	noted; base=319
321	Raw anchovies	
322	Raw anchovies	noted; base=321
323	Burnt fish	
324	<unnamed>	
325	Sardine	
326	Sardine	noted; base=325
327	Raw sardine	
328	Raw sardine	noted; base=327
329	Salmon	
330	Salmon	noted; base=329
331	Raw salmon	
332	Raw salmon	noted; base=331
333	Trout	
334	Trout	noted; base=333
335	Raw trout	
336	Raw trout	noted; base=335
337	Giant carp	
338	Raw giant carp	
339	Cod	
340	Cod	noted; base=339
341	Raw cod	
342	Raw cod	noted; base=341
343	Burnt fish	
344	<unnamed>	
345	Raw herring	
346	Raw herring	noted; base=345
347	Herring	
348	Herring	noted; base=347
349	Raw pike	
350	Raw pike	noted; base=349
351	Pike	
352	Pike	noted; base=351
353	Raw mackerel	
354	Raw mackerel	noted; base=353
355	Mackerel	
356	Mackerel	noted; base=355
357	Burnt fish	
358	<unnamed>	
359	Raw tuna	
360	Raw tuna	noted; base=359
361	Tuna	
362	Tuna	noted; base=361
363	Raw bass	
364	Raw bass	noted; base=363
365	Bass	
366	Bass	noted; base=365
367	Burnt fish	
368	<unnamed>	
369	Burnt fish	
370	<unnamed>	
371	Raw swordfish	
372	Raw swordfish	noted; base=371
373	Swordfish	
374	Swordfish	noted; base=373
375	Burnt swordfish	
376	<unnamed>	
377	Raw lobster	
378	Raw lobster	noted; base=377
379	Lobster	
380	Lobster	noted; base=379
381	Burnt lobster	
382	<unnamed>	
383	Raw shark	
384	Raw shark	noted; base=383
385	Shark	
386	Shark	noted; base=385
387	Burnt shark	
388	<unnamed>	
389	Raw manta ray	
390	Raw manta ray	noted; base=389
391	Manta ray	
392	Manta ray	noted; base=391
393	Burnt manta ray	
394	<unnamed>	
395	Raw sea turtle	
396	Raw sea turtle	noted; base=395
397	Sea turtle	
398	Sea turtle	noted; base=397
399	Burnt sea turtle	
400	<unnamed>	
401	Seaweed	
402	Seaweed	noted; base=401
403	Edible seaweed	
404	Edible seaweed	noted; base=403
405	Casket	
406	Casket	noted; base=405
407	Oyster	
408	Oyster	noted; base=407
409	Empty oyster	
410	Empty oyster	noted; base=409
411	Oyster pearl	
412	Oyster pearl	noted; base=411
413	Oyster pearls	
414	Oyster pearls	noted; base=413
415	Ethenea	
416	Liquid honey	
417	Sulphuric broline	
418	Plague sample	
419	Touch paper	
420	Distillator	
421	Lathas' amulet	
422	Bird feed	
423	Key	
424	Pigeon cage	
425	Pigeon cage	
426	Priest gown	
427	Priest gown	noted; base=426
428	Priest gown	
429	Priest gown	noted; base=428
430	Doctors' gown	
431	Karamjan rum	
432	Chest key	
433	Pirate message	
434	Clay	
435	Clay	noted; base=434
436	Copper ore	
437	Copper ore	noted; base=436
438	Tin ore	
439	Tin ore	noted; base=438
440	Iron ore	
441	Iron ore	noted; base=440
442	Silver ore	
443	Silver ore	noted; base=442
444	Gold ore	
445	Gold ore	noted; base=444
446	'Perfect' gold ore	
447	Mithril ore	
448	Mithril ore	noted; base=447
449	Adamantite ore	
450	Adamantite ore	noted; base=449
451	Runite ore	
452	Runite ore	noted; base=451
453	Coal	
454	Coal	noted; base=453
455	Barcrawl card	
456	Scorpion cage	
457	Scorpion cage	
458	Scorpion cage	
459	Scorpion cage	
460	Scorpion cage	
461	Scorpion cage	
462	Scorpion cage	
463	Scorpion cage	
464	Strange fruit	
465	Strange fruit	noted; base=464
466	<unnamed>	
467	<unnamed>	
468	<unnamed>	
469	<unnamed>	
470	<unnamed>	
471	<unnamed>	
472	<unnamed>	
473	<unnamed>	
474	<unnamed>	
475	<unnamed>	
476	<unnamed>	
477	<unnamed>	
478	<unnamed>	
479	<unnamed>	
480	<unnamed>	
481	<unnamed>	
482	<unnamed>	
483	<unnamed>	
484	<unnamed>	
485	<unnamed>	
486	<unnamed>	
487	<unnamed>	
488	<unnamed>	
489	<unnamed>	
490	<unnamed>	
491	<unnamed>	
492	<unnamed>	
493	<unnamed>	
494	<unnamed>	
495	<unnamed>	
496	<unnamed>	
497	<unnamed>	
498	<unnamed>	
499	<unnamed>	
500	<unnamed>	
501	<unnamed>	
502	<unnamed>	
503	<unnamed>	
504	<unnamed>	
505	<unnamed>	
506	<unnamed>	
507	<unnamed>	
508	<unnamed>	
509	<unnamed>	
510	<unnamed>	
511	<unnamed>	
512	<unnamed>	
513	<unnamed>	
514	<unnamed>	
515	<unnamed>	
516	<unnamed>	
517	<unnamed>	
518	<unnamed>	
519	<unnamed>	
520	<unnamed>	
521	<unnamed>	
522	<unnamed>	
523	<unnamed>	
524	<unnamed>	
525	<unnamed>	
526	Bones	
527	Bones	noted; base=526
528	Burnt bones	
529	Burnt bones	noted; base=528
530	Bat bones	
531	Bat bones	noted; base=530
532	Big bones	
533	Big bones	noted; base=532
534	Baby dragon bones	
535	Baby dragon bones	noted; base=534
536	Dragon bones	
537	Dragon bones	noted; base=536
538	Druid's robe	
539	Druid's robe	noted; base=538
540	Druid's robe	
541	Druid's robe	noted; base=540
542	Monk's robe	
543	Monk's robe	noted; base=542
544	Monk's robe	
545	Monk's robe	noted; base=544
546	Shade robe top	
547	<unnamed>	
548	Shade robe bottom	
549	<unnamed>	
550	Newcomer map	
551	Newcomer map	noted; base=550
552	Ghostspeak amulet	
553	Muddy skull	
554	Fire rune	
555	Water rune	
556	Air rune	
557	Earth rune	
558	Mind rune	
559	Body rune	
560	Death rune	
561	Nature rune	
562	Chaos rune	
563	Law rune	
564	Cosmic rune	
565	Blood rune	
566	Soul rune	
567	Unpowered orb	
568	Unpowered orb	noted; base=567
569	Fire orb	
570	Fire orb	noted; base=569
571	Water orb	
572	Water orb	noted; base=571
573	Air orb	
574	Air orb	noted; base=573
575	Earth orb	
576	Earth orb	noted; base=575
577	Wizard robe top	
578	Wizard robe top	noted; base=577
579	Wizard hat	
580	Wizard hat	noted; base=579
581	Black wizard robe top	
582	Black wizard robe top	noted; base=581
583	Bailing bucket	
584	Bailing bucket	noted; base=583
585	Bailing bucket	
586	Bailing bucket	noted; base=585
587	Orb of protection	
588	Orbs of protection	
589	Gnome amulet	
590	Tinderbox	
591	Tinderbox	noted; base=590
592	Ashes	
593	Ashes	noted; base=592
594	Lit torch	
595	<unnamed>	
596	Unlit torch	
597	Unlit torch	noted; base=596
598	Bronze fire arrows	
599	<unnamed>	
600	Astronomy book	
601	Goblin kitchen key	
602	Lens mould	
603	Observatory lens	
604	Bone shard	
605	Bone key	
606	Stone-plaque	
607	Tattered scroll	
608	Crumpled scroll	
609	Rashiliyia corpse	
610	Zadimus corpse	
611	Locating crystal	
612	Locating crystal	
613	Locating crystal	
614	Locating crystal	
615	Locating crystal	
616	Beads of the dead	
617	Coins	
618	Bone beads	
619	Paramaya ticket	
620	<unnamed>	
621	Ship ticket	
622	<unnamed>	
623	Sword pommel	
624	Bervirius notes	
625	Wampum belt	
626	Pink boots	
627	Pink boots	noted; base=626
628	Green boots	
629	Green boots	noted; base=628
630	Blue boots	
631	Blue boots	noted; base=630
632	Cream boots	
633	Cream boots	noted; base=632
634	Turquoise boots	
635	Turquoise boots	noted; base=634
636	Pink robe top	
637	Pink robe top	noted; base=636
638	Green robe top	
639	Green robe top	noted; base=638
640	Blue robe top	
641	Blue robe top	noted; base=640
642	Cream robe top	
643	Cream robe top	noted; base=642
644	Turquoise robe top	
645	Turquoise robe top	noted; base=644
646	Pink robe bottoms	
647	Pink robe bottoms	noted; base=646
648	Green robe bottoms	
649	Green robe bottoms	noted; base=648
650	Blue robe bottoms	
651	Blue robe bottoms	noted; base=650
652	Cream robe bottoms	
653	Cream robe bottoms	noted; base=652
654	Turquoise robe bottoms	
655	Turquoise robe bottoms	noted; base=654
656	Pink hat	
657	Pink hat	noted; base=656
658	Green hat	
659	Green hat	noted; base=658
660	Blue hat	
661	Blue hat	noted; base=660
662	Cream hat	
663	Cream hat	noted; base=662
664	Turquoise hat	
665	Turquoise hat	noted; base=664
666	Portrait	
667	Blurite sword	
668	Blurite ore	
669	Specimen jar	
670	Specimen brush	
671	Animal skull	
672	Special cup	
673	Teddy	
674	Cracked sample	
675	Rock pick	
676	Trowel	
677	Panning tray	
678	Panning tray	
679	Panning tray	
680	Nuggets	
681	Ancient talisman	
682	Unstamped letter	
683	Sealed letter	
684	Belt buckle	
685	Old boot	
686	Rusty sword	
687	Broken arrow	
688	Buttons	
689	Broken staff	
690	<unnamed>	
691	Level 1 certificate	
692	Level 2 certificate	
693	Level 3 certificate	
694	Ceramic remains	
695	Old tooth	
696	Invitation letter	
697	Damaged armour	
698	Broken armour	
699	Stone tablet	
700	Chemical powder	
701	Ammonium nitrate	
702	Unidentified liquid	
703	Nitroglycerine	
704	Ground charcoal	
705	Mixed chemicals	
706	Mixed chemicals	
707	Chemical compound	
708	Arcenia root	
709	Chest key	
710	Vase	
711	Book on chemicals	
712	Cup of tea	
713	<unnamed>	
714	Radimus notes	
715	Radimus notes	
716	Bull roarer	
717	Scrawled note	
718	A scribbled note	
719	Scrumpled note	
720	Sketch	
721	Gold bowl	
722	Blessed gold bowl	
723	Golden bowl	
724	Golden bowl	
725	Golden bowl	
726	Golden bowl	
727	Hollow reed	
728	<unnamed>	
729	Shamans tome	
730	Binding book	
731	Enchanted vial	
732	Holy water	
733	Smashed glass	
734	<unnamed>	
735	Yommi tree seeds	
736	Yommi tree seeds	
737	Snakeweed mixture	
738	Ardrigal mixture	
739	Bravery potion	
740	Blue hat	
741	Chunk of crystal	
742	Hunk of crystal	
743	Lump of crystal	
744	Heart crystal	
745	Heart crystal	
746	Dark dagger	
747	Glowing dagger	
748	Holy force	
749	Yommi totem	
750	Gilded totem	
751	Gnomeball	
752	Gnomeball	noted; base=751
753	Cadava berries	
754	Cadava berries	noted; base=753
755	<unnamed>	
756	Cadava potion	
757	The Shield of Arrav book	
758	<unnamed>	
759	<unnamed>	
760	<unnamed>	
761	Intel report	
762	<unnamed>	
763	Broken shield	
764	<unnamed>	
765	Broken shield	
766	<unnamed>	
767	Phoenix crossbow	
768	<unnamed>	
769	<unnamed>	
770	<unnamed>	
771	Dramen branch	
772	Dramen staff	
773	'Perfect' ring	
774	'Perfect' necklace	
775	Cooking gauntlets	
776	Smelting gauntlets	
777	Chaos gauntlets	
778	Family gauntlets	
779	Crest part	
780	Crest part	
781	Crest part	
782	Family crest	
783	Bark sample	
784	Translation book	
785	Glough's journal	
786	Hazelmere's scroll	
787	Lumber order	
788	Glough's key	
789	Twigs	
790	Twigs	
791	Twigs	
792	Twigs	
793	Daconia rock	
794	Invasion plans	
795	War ship	
796	<unnamed>	
797	<unnamed>	
798	<unnamed>	
799	<unnamed>	
800	Bronze throwing axe	
801	Iron throwing axe	
802	Steel throwing axe	
803	Mithril throwing axe	
804	Adamant throwing axe	
805	Rune throwing axe	
806	Bronze dart	
807	Iron dart	
808	Steel dart	
809	Mithril dart	
810	Adamant dart	
811	Rune dart	
812	Bronze dart (p)	
813	Iron dart (p)	
814	Steel dart (p)	
815	Mithril dart (p)	
816	Adamant dart (p)	
817	Rune dart (p)	
818	Poisoned dart (p)	
819	Bronze dart tip	
820	Iron dart tip	
821	Steel dart tip	
822	Mithril dart tip	
823	Adamant dart tip	
824	Rune dart tip	
825	Bronze javelin	
826	Iron javelin	
827	Steel javelin	
828	Mithril javelin	
829	Adamant javelin	
830	Rune javelin	
831	Bronze javelin (p)	
832	Iron javelin (p)	
833	Steel javelin (p)	
834	Mithril javelin (p)	
835	Adamant javelin (p)	
836	Rune javelin (p)	
837	Crossbow	
838	Crossbow	noted; base=837
839	Longbow	
840	Longbow	noted; base=839
841	Shortbow	
842	Shortbow	noted; base=841
843	Oak shortbow	
844	Oak shortbow	noted; base=843
845	Oak longbow	
846	Oak longbow	noted; base=845
847	Willow longbow	
848	Willow longbow	noted; base=847
849	Willow shortbow	
850	Willow shortbow	noted; base=849
851	Maple longbow	
852	Maple longbow	noted; base=851
853	Maple shortbow	
854	Maple shortbow	noted; base=853
855	Yew longbow	
856	Yew longbow	noted; base=855
857	Yew shortbow	
858	Yew shortbow	noted; base=857
859	Magic longbow	
860	Magic longbow	noted; base=859
861	Magic shortbow	
862	Magic shortbow	noted; base=861
863	Iron knife	
864	Bronze knife	
865	Steel knife	
866	Mithril knife	
867	Adamant knife	
868	Rune knife	
869	Black knife	
870	Bronze knife (p)	
871	Iron knife (p)	
872	Steel knife (p)	
873	Mithril knife (p)	
874	Black knife (p)	
875	Adamant knife (p)	
876	Rune knife (p)	
877	Bronze bolts	
878	Bronze bolts (p)	
879	Opal bolts	
880	Pearl bolts	
881	Barbed bolts	
882	Bronze arrow	
883	Bronze arrow (p)	
884	Iron arrow	
885	Iron arrow (p)	
886	Steel arrow	
887	Steel arrow (p)	
888	Mithril arrow	
889	Mithril arrow (p)	
890	Adamant arrow	
891	Adamant arrow (p)	
892	Rune arrow	
893	Rune arrow (p)	
894	<unnamed>	
895	<unnamed>	
896	<unnamed>	
897	<unnamed>	
898	<unnamed>	
899	<unnamed>	
900	<unnamed>	
901	<unnamed>	
902	<unnamed>	
903	<unnamed>	
904	<unnamed>	
905	<unnamed>	
906	<unnamed>	
907	<unnamed>	
908	<unnamed>	
909	<unnamed>	
910	<unnamed>	
911	<unnamed>	
912	<unnamed>	
913	<unnamed>	
914	<unnamed>	
915	<unnamed>	
916	<unnamed>	
917	<unnamed>	
918	<unnamed>	
919	<unnamed>	
920	<unnamed>	
921	<unnamed>	
922	<unnamed>	
923	<unnamed>	
924	<unnamed>	
925	<unnamed>	
926	<unnamed>	
927	<unnamed>	
928	<unnamed>	
929	<unnamed>	
930	<unnamed>	
931	<unnamed>	
932	<unnamed>	
933	<unnamed>	
934	<unnamed>	
935	<unnamed>	
936	<unnamed>	
937	<unnamed>	
938	<unnamed>	
939	<unnamed>	
940	<unnamed>	
941	<unnamed>	
942	Bronze fire arrows	
943	Worm	
944	Worm	noted; base=943
945	Throwing rope	
946	Knife	
947	Knife	noted; base=946
948	Bear fur	
949	Bear fur	noted; base=948
950	Silk	
951	Silk	noted; base=950
952	Spade	
953	Spade	noted; base=952
954	Rope	
955	Rope	noted; base=954
956	Flier	
957	<unnamed>	
958	Grey wolf fur	
959	Grey wolf fur	noted; base=958
960	Plank	
961	Plank	noted; base=960
962	Christmas cracker	
963	Christmas cracker	noted; base=962
964	Skull	
965	<unnamed>	
966	Tile	
967	<unnamed>	
968	Rock	
969	<unnamed>	
970	Papyrus	
971	Papyrus	noted; base=970
972	Papyrus	
973	Charcoal	
974	Charcoal	noted; base=973
975	Machete	
976	Machete	noted; base=975
977	Cooking pot	
978	Cooking pot	noted; base=977
979	<unnamed>	
980	<unnamed>	
981	Disk of returning	
982	Disk of returning	noted; base=981
983	Brass key	
984	Brass key	noted; base=983
985	Tooth half of a key	
986	Tooth half of a key	noted; base=985
987	Loop half of a key	
988	Loop half of a key	noted; base=987
989	Crystal key	
990	Crystal key	noted; base=989
991	Muddy key	
992	Muddy key	noted; base=991
993	Sinister key	
994	Sinister key	noted; base=993
995	Coins	
996	<unnamed>	
997	<unnamed>	
998	<unnamed>	
999	<unnamed>	
1000	<unnamed>	
1001	<unnamed>	
1002	<unnamed>	
1003	<unnamed>	
1004	<unnamed>	
1005	White apron	
1006	White apron	noted; base=1005
1007	Cape	
1008	Cape	noted; base=1007
1009	Brass necklace	
1010	Brass necklace	noted; base=1009
1011	Wizard robe skirt	
1012	Wizard robe skirt	noted; base=1011
1013	Pink skirt	
1014	Pink skirt	noted; base=1013
1015	Black wizard robe skirt	
1016	Black wizard robe skirt	noted; base=1015
1017	Black wizard hat	
1018	Black wizard hat	noted; base=1017
1019	Cape	
1020	Cape	noted; base=1019
1021	Cape	
1022	Cape	noted; base=1021
1023	Cape	
1024	Cape	noted; base=1023
1025	Eye patch	
1026	Eye patch	noted; base=1025
1027	Cape	
1028	Cape	noted; base=1027
1029	Cape	
1030	Cape	noted; base=1029
1031	Cape	
1032	Cape	noted; base=1031
1033	Zamorak robe	
1034	Zamorak robe	noted; base=1033
1035	Zamorak robe	
1036	Zamorak robe	noted; base=1035
1037	Bunny ears	
1038	Red partyhat	
1039	Red partyhat	noted; base=1038
1040	Yellow partyhat	
1041	Yellow partyhat	noted; base=1040
1042	Blue partyhat	
1043	Blue partyhat	noted; base=1042
1044	Green partyhat	
1045	Green partyhat	noted; base=1044
1046	Purple partyhat	
1047	Purple partyhat	noted; base=1046
1048	White partyhat	
1049	White partyhat	noted; base=1048
1050	Santa hat	
1051	Santa hat	noted; base=1050
1052	Cape of legends	
1053	Green hallowe'en mask	
1054	Green hallowe'en mask	noted; base=1053
1055	Blue hallowe'en mask	
1056	Blue hallowe'en mask	noted; base=1055
1057	Red hallowe'en mask	
1058	Red hallowe'en mask	noted; base=1057
1059	Leather gloves	
1060	Leather gloves	noted; base=1059
1061	Leather boots	
1062	Leather boots	noted; base=1061
1063	Leather vambraces	
1064	Leather vambraces	noted; base=1063
1065	Green dragonhide vambraces	
1066	Green dragonhide vambraces	noted; base=1065
1067	Iron platelegs	
1068	Iron platelegs	noted; base=1067
1069	Steel platelegs	
1070	Steel platelegs	noted; base=45460
1071	Mithril platelegs	
1072	Mithril platelegs	noted; base=45487
1073	Adamant platelegs	
1074	Adamant platelegs	noted; base=45514
1075	Bronze platelegs	
1076	Bronze platelegs	noted; base=1075
1077	Black platelegs	
1078	Black platelegs	noted; base=1077
1079	Rune platelegs	
1080	Rune platelegs	noted; base=45541
1081	Iron plateskirt	
1082	Iron plateskirt	noted; base=1081
1083	Steel plateskirt	
1084	Steel plateskirt	noted; base=45461
1085	Mithril plateskirt	
1086	Mithril plateskirt	noted; base=45488
1087	Bronze plateskirt	
1088	Bronze plateskirt	noted; base=1087
1089	Black plateskirt	
1090	Black plateskirt	noted; base=1089
1091	Adamant plateskirt	
1092	Adamant plateskirt	noted; base=45515
1093	Rune plateskirt	
